edad,peso,talla,sexo,provincia,dni,fecha_nacimiento,bmi,bmi_agrupado,bmi_agrupado2
18,66.4,1.635,HOMBRE,CASTELLÓN,13184786H,2/11/2002,24.84,Normal,Normal
18,68.7,1.72,HOMBRE,CASTELLÓN,37707523O,24/4/2002,23.22,Normal,Normal
24,76.7,1.7,HOMBRE,ALICANTE,18338426W,22/11/1996,26.54,Sobrepeso,Sobrepeso
17,55.6,1.6,MUJER,CASTELLÓN,64334663L,16/4/2003,21.72,Normal,Normal
16,46.6,1.635,MUJER,CASTELLÓN,45309142X,21/9/2004,17.43,Infrapeso,Infrapeso
15,58.6,1.665,MUJER,ALICANTE,86065845F,11/7/2005,21.14,Normal,Normal
15,58.5,1.64,MUJER,CASTELLÓN,89158029B,21/5/2005,21.75,Normal,Normal
19,69.0,1.585,MUJER,CASTELLÓN,55745263K,16/11/2001,27.47,Sobrepeso,Sobrepeso
25,55.2,1.74,HOMBRE,CASTELLÓN,43247686A,21/5/1995,18.23,Infrapeso,Infrapeso
34,76.0,1.815,HOMBRE,CASTELLÓN,84734488O,27/12/1986,23.07,Normal,Normal
26,59.0,1.64,MUJER,CASTELLÓN,42947057K,14/2/1994,21.94,Normal,Normal
25,47.7,1.56,MUJER,ALICANTE,81642304I,5/4/1995,19.6,Normal,Normal
25,65.4,1.575,MUJER,CASTELLÓN,42646428H,7/5/1995,26.36,Sobrepeso,Sobrepeso
48,73.4,1.68,HOMBRE,CASTELLÓN,78979590A,26/3/1972,26.01,Sobrepeso,Sobrepeso
36,80.1,1.71,HOMBRE,ALICANTE,12497634M,2/2/1984,27.39,Sobrepeso,Sobrepeso
45,88.9,1.71,HOMBRE,CASTELLÓN,45953347H,30/12/1975,30.4,Obesidad clase 1,Obesidad
43,62.5,1.66,MUJER,CASTELLÓN,46253976S,8/9/1977,22.68,Normal,Normal
39,55.5,1.565,MUJER,CASTELLÓN,39768979N,3/10/1981,22.66,Normal,Normal
35,67.9,1.61,MUJER,CASTELLÓN,67899264H,20/8/1985,26.19,Sobrepeso,Sobrepeso
47,70.0,1.54,MUJER,ALICANTE,87010679P,25/8/1973,29.52,Sobrepeso,Sobrepeso
62,78.7,1.58,HOMBRE,CASTELLÓN,61414267U,14/2/1958,31.53,Obesidad clase 1,Obesidad
54,67.1,1.64,HOMBRE,ALICANTE,76746346D,15/6/1966,24.95,Normal,Normal
50,70.5,1.61,HOMBRE,ALICANTE,70647872I,20/12/1970,27.2,Sobrepeso,Sobrepeso
59,86.4,1.74,HOMBRE,CASTELLÓN,50935199H,24/8/1961,28.54,Sobrepeso,Sobrepeso
57,91.0,1.665,HOMBRE,ALICANTE,59868175S,14/7/1963,32.83,Obesidad clase 1,Obesidad
63,76.9,1.6,HOMBRE,ALICANTE,21774186W,8/9/1957,30.04,Obesidad clase 1,Obesidad
63,,,MUJER,ALICANTE,77089922B,20/8/1957,,Obesidad clase 3,Obesidad
63,77.0,1.59,MUJER,ALICANTE,78936643U,30/8/1957,30.46,Obesidad clase 1,Obesidad
53,70.1,1.58,MUJER,CASTELLÓN,44192520W,13/9/1967,28.08,Sobrepeso,Sobrepeso
61,64.0,1.645,MUJER,ALICANTE,50419835S,7/9/1959,23.65,Normal,Normal
54,57.2,1.48,MUJER,CASTELLÓN,71936282W,6/8/1966,26.11,Sobrepeso,Sobrepeso
71,70.0,1.6,HOMBRE,CASTELLÓN,66095490H,31/12/1949,27.34,Sobrepeso,Sobrepeso
79,57.0,1.59,HOMBRE,ALICANTE,15589818F,29/1/1941,22.55,Normal,Normal
73,83.2,1.67,HOMBRE,ALICANTE,46511658K,1/9/1947,29.83,Sobrepeso,Sobrepeso
80,80.0,1.6,MUJER,CASTELLÓN,20142200V,11/1/1940,31.25,Obesidad clase 1,Obesidad
89,59.9,1.43,MUJER,ALICANTE,82028827D,21/3/1931,29.29,Sobrepeso,Sobrepeso
69,66.0,1.515,MUJER,CASTELLÓN,87483096W,13/6/1951,28.76,Sobrepeso,Sobrepeso
76,53.1,1.525,MUJER,ALICANTE,18939684Y,31/8/1944,22.83,Normal,Normal
15,93.0,1.815,HOMBRE,ALICANTE,83617866L,16/10/2005,28.23,Sobrepeso,Sobrepeso
15,53.0,1.68,HOMBRE,ALICANTE,86409421K,3/9/2005,18.78,Normal,Normal
20,,,HOMBRE,ALICANTE,58493871Y,3/7/2000,,Obesidad clase 3,Obesidad
22,76.6,1.695,HOMBRE,ALICANTE,45867453K,21/8/1998,26.66,Sobrepeso,Sobrepeso
22,65.1,1.72,HOMBRE,ALICANTE,18767896E,11/9/1998,22.01,Normal,Normal
15,89.5,1.715,HOMBRE,ALICANTE,20399882T,11/8/2005,30.43,Obesidad clase 1,Obesidad
17,62.2,1.72,HOMBRE,ALICANTE,17565380J,14/3/2003,21.02,Normal,Normal
15,67.0,1.7,HOMBRE,ALICANTE,55573475D,14/6/2005,23.18,Normal,Normal
17,57.0,1.76,HOMBRE,ALICANTE,17007069J,22/3/2003,18.4,Infrapeso,Infrapeso
15,56.6,1.68,HOMBRE,ALICANTE,74341314C,13/5/2005,20.05,Normal,Normal
19,68.5,1.875,HOMBRE,ALICANTE,51450563Y,22/1/2001,19.48,Normal,Normal
17,60.8,1.715,HOMBRE,ALICANTE,61800790U,9/5/2003,20.67,Normal,Normal
15,56.3,1.735,HOMBRE,ALICANTE,29161070Q,29/1/2005,18.7,Normal,Normal
