edad,peso,talla,sexo,provincia,dni,fecha_nacimiento
96,130.8,155,HOMBRE,MADRID,46448203J,17/8/1924
85,142.6,190,HOMBRE,SEVILLA,59328404S,10/12/1935
25,44.0,172,MUJER,MÁLAGA,46131518C,5/9/1995
81,101.9,136,HOMBRE,MADRID,74989113Q,17/6/1939
56,86.2,153,MUJER,BARCELONA,51286245A,14/2/1964
30,60.6,169,HOMBRE,MADRID,28407716E,1/6/1990
46,86.1,196,HOMBRE,BARCELONA,20786031L,23/9/1974
77,100.6,167,MUJER,MURCIA,31512828S,26/11/1943
22,149.8,165,MUJER,MÁLAGA,38629795C,6/3/1998
47,123.8,172,MUJER,GRANADA,97163428J,2/5/1973
85,47.3,186,MUJER,MURCIA,49085814R,20/4/1935
52,44.5,167,MUJER,MÁLAGA,17213978B,15/7/1968
47,133.7,165,HOMBRE,MURCIA,16199286Q,27/11/1973
44,135.2,147,HOMBRE,BARCELONA,55778445C,26/9/1976
53,90.8,159,MUJER,BARCELONA,64439039A,9/10/1967
25,105.9,154,MUJER,BARCELONA,58716973D,14/11/1995
46,101.8,166,HOMBRE,GRANADA,52741009T,31/5/1974
62,116.0,151,HOMBRE,CUENCA,21214970U,18/11/1958
18,136.3,187,MUJER,MURCIA,44659233Y,19/7/2002
91,137.8,154,MUJER,MÁLAGA,35395116L,20/2/1929
61,141.0,146,MUJER,SEVILLA,67588710I,9/1/1959
75,63.6,168,HOMBRE,BARCELONA,57625061I,7/7/1945
44,48.6,193,HOMBRE,MURCIA,98106112K,4/12/1976
32,31.8,154,MUJER,CUENCA,76088264B,28/4/1988
40,121.4,151,MUJER,GRANADA,93307977D,30/9/1980
60,131.1,196,HOMBRE,MADRID,77206570K,2/1/1960
20,93.3,142,MUJER,MADRID,50564330W,17/4/2000
44,71.2,172,HOMBRE,CUENCA,49980374E,26/8/1976
24,139.7,139,HOMBRE,MADRID,87341057M,6/2/1996
92,62.6,162,MUJER,MURCIA,20629715E,13/12/1928
75,49.7,191,MUJER,MURCIA,27286142W,2/7/1945
95,95.5,134,HOMBRE,CUENCA,18385116G,8/3/1925
59,85.8,179,HOMBRE,SEVILLA,41280101N,16/3/1961
71,109.5,161,HOMBRE,MÁLAGA,40708600V,16/5/1949
26,61.3,167,HOMBRE,SEVILLA,76784079N,16/8/1994
91,141.6,199,HOMBRE,SEVILLA,92378636O,15/2/1929
19,67.0,195,HOMBRE,MADRID,84898926V,25/8/2001
77,64.7,181,HOMBRE,BARCELONA,23129105D,25/3/1943
35,104.5,151,HOMBRE,MADRID,57501324L,2/4/1985
93,85.6,154,HOMBRE,CUENCA,67358370Y,27/9/1927
55,41.9,189,HOMBRE,GRANADA,42819078U,14/8/1965
94,48.6,149,MUJER,GRANADA,47003503L,7/10/1926
35,112.1,136,MUJER,MURCIA,75712172J,11/4/1985
39,101.0,189,MUJER,SEVILLA,18821714S,3/3/1981
87,52.5,133,MUJER,MÁLAGA,91697144C,17/6/1933
27,146.0,145,MUJER,CUENCA,17272102K,4/12/1993
70,110.7,175,MUJER,MÁLAGA,58421981P,28/1/1950
27,70.4,155,HOMBRE,MADRID,18136241E,28/7/1993
71,49.3,178,MUJER,MADRID,22490211O,15/10/1949
82,67.1,148,MUJER,SEVILLA,14406290Y,22/7/1938
61,82.4,182,MUJER,SEVILLA,16003605O,7/7/1959
62,85.8,157,HOMBRE,BARCELONA,70290498N,22/8/1958
33,97.1,197,HOMBRE,BARCELONA,37381578M,21/6/1987
60,51.6,147,HOMBRE,MURCIA,47092268L,19/8/1960
66,139.3,146,MUJER,GRANADA,44781830J,21/10/1954
58,65.8,187,HOMBRE,BARCELONA,27716333N,21/5/1962
69,75.5,135,MUJER,BARCELONA,76346113U,26/7/1951
87,124.3,183,MUJER,MÁLAGA,19292902P,12/2/1933
21,142.7,192,MUJER,SEVILLA,77605795B,4/2/1999
85,146.2,144,HOMBRE,MURCIA,12682128K,7/2/1935
85,92.1,162,HOMBRE,MURCIA,55006639G,21/5/1935
28,82.1,183,MUJER,MURCIA,41076979O,13/2/1992
19,55.3,172,MUJER,GRANADA,83534936E,24/9/2001
15,73.5,185,HOMBRE,BARCELONA,61352545K,9/7/2005
55,143.6,142,HOMBRE,BARCELONA,26778302Y,18/5/1965
26,91.3,133,MUJER,SEVILLA,40498745P,17/3/1994
89,118.2,191,MUJER,MURCIA,16409245C,6/11/1931
55,130.6,168,MUJER,MADRID,71295706J,18/3/1965
20,45.1,154,HOMBRE,SEVILLA,37290952L,20/9/2000
