edad,peso,talla,sexo,provincia,dni,fecha_nacimiento,bmi,bmi_agrupado,bmi_agrupado2,edad_dis
96,130.8,1.55,HOMBRE,MADRID,46448203J,17/8/1924,54.44,Obesidad clase 3,Obesidad,"(50, 96]"
85,142.6,1.9,HOMBRE,SEVILLA,59328404S,10/12/1935,39.5,Obesidad clase 2,Obesidad,"(50, 96]"
25,44.0,1.72,MUJER,MÁLAGA,46131518C,5/9/1995,14.87,Infrapeso,Infrapeso,"(20, 50]"
81,101.9,1.36,HOMBRE,MADRID,74989113Q,17/6/1939,55.09,Obesidad clase 3,Obesidad,"(50, 96]"
56,86.2,1.53,MUJER,BARCELONA,51286245A,14/2/1964,36.82,Obesidad clase 2,Obesidad,"(50, 96]"
30,60.6,1.69,HOMBRE,MADRID,28407716E,1/6/1990,21.22,Normal,Normal,"(20, 50]"
46,86.1,1.96,HOMBRE,BARCELONA,20786031L,23/9/1974,22.41,Normal,Normal,"(20, 50]"
77,100.6,1.67,MUJER,MURCIA,31512828S,26/11/1943,36.07,Obesidad clase 2,Obesidad,"(50, 96]"
22,149.8,1.65,MUJER,MÁLAGA,38629795C,6/3/1998,55.02,Obesidad clase 3,Obesidad,"(20, 50]"
47,123.8,1.72,MUJER,GRANADA,97163428J,2/5/1973,41.85,Obesidad clase 3,Obesidad,"(20, 50]"
85,47.3,1.86,MUJER,MURCIA,49085814R,20/4/1935,13.67,Infrapeso,Infrapeso,"(50, 96]"
52,44.5,1.67,MUJER,MÁLAGA,17213978B,15/7/1968,15.96,Infrapeso,Infrapeso,"(50, 96]"
47,133.7,1.65,HOMBRE,MURCIA,16199286Q,27/11/1973,49.11,Obesidad clase 3,Obesidad,"(20, 50]"
44,135.2,1.47,HOMBRE,BARCELONA,55778445C,26/9/1976,62.57,Obesidad clase 3,Obesidad,"(20, 50]"
53,90.8,1.59,MUJER,BARCELONA,64439039A,9/10/1967,35.92,Obesidad clase 2,Obesidad,"(50, 96]"
25,105.9,1.54,MUJER,BARCELONA,58716973D,14/11/1995,44.65,Obesidad clase 3,Obesidad,"(20, 50]"
46,101.8,1.66,HOMBRE,GRANADA,52741009T,31/5/1974,36.94,Obesidad clase 2,Obesidad,"(20, 50]"
62,116.0,1.51,HOMBRE,CUENCA,21214970U,18/11/1958,50.87,Obesidad clase 3,Obesidad,"(50, 96]"
18,136.3,1.87,MUJER,MURCIA,44659233Y,19/7/2002,38.98,Obesidad clase 2,Obesidad,"(14, 20]"
91,137.8,1.54,MUJER,MÁLAGA,35395116L,20/2/1929,58.1,Obesidad clase 3,Obesidad,"(50, 96]"
61,141.0,1.46,MUJER,SEVILLA,67588710I,9/1/1959,66.15,Obesidad clase 3,Obesidad,"(50, 96]"
75,63.6,1.68,HOMBRE,BARCELONA,57625061I,7/7/1945,22.53,Normal,Normal,"(50, 96]"
44,48.6,1.93,HOMBRE,MURCIA,98106112K,4/12/1976,13.05,Infrapeso,Infrapeso,"(20, 50]"
32,31.8,1.54,MUJER,CUENCA,76088264B,28/4/1988,13.41,Infrapeso,Infrapeso,"(20, 50]"
40,121.4,1.51,MUJER,GRANADA,93307977D,30/9/1980,53.24,Obesidad clase 3,Obesidad,"(20, 50]"
60,131.1,1.96,HOMBRE,MADRID,77206570K,2/1/1960,34.13,Obesidad clase 1,Obesidad,"(50, 96]"
